User Code,Video Code,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max,total_survey,total_I/N,captivation,cap_I/N,dissociation,dis_I/N,comprehension,com_I/N,transportation,tra_I/N
1,1,283.631136,239.3231039,67,125,212.5,350,1900,25.09576202,13.54644283,8,17,17,33,100,2.980360065,1.242528042,0,2,3,4,7,4.075286416,2.585120356,0,2,3,5,15,403.2617179,263.3407103,10.85478783,222.326671,341.8135809,541.8035438,2161.747241,12.85424694,12.16943763,0.184531393,4.515614937,8.272199194,17.75995276,78.82948455,-1.195133214,0.907279611,-3.50947855,-1.88447855,-1.24947855,-0.36947855,0.76052145,4.333333333,0,4.125,0,4,0,5.333333333,1,4,1
2,1,232.9291167,159.069807,67,125,192,292,1250,26.41463415,17.62419008,8,17,25,33,200,1.839607201,1.482289714,0,0,2,3,6,2.656301146,2.481347876,0,1,2,4,15,425.6951457,239.8007987,5.274341999,241.1055515,402.0123635,588.4965623,1127.690969,15.90636966,14.80330022,0.089663814,4.889005058,10.93312132,22.99855687,87.738183,-2.371691264,1.583102992,-4.378753457,-3.896253457,-2.568753457,-1.041253457,0.956246543,5.333333333,1,6.125,1,4,0,5,0,4,1
3,1,453.9703641,380.8825589,67,200,333,583,3581,43.44187837,17.61006247,17,33,50,50,150,2.792144026,1.037495638,0,2,3,3,6,2.166939444,1.257744649,0,1,2,3,6,327.3424034,247.8023112,50.94224357,182.1501188,263.8437623,386.0864284,2042.054419,14.56529378,10.30804526,0.987887703,6.70641695,12.13121035,19.8972475,61.10096872,0.242603317,0.365171157,-2.920269023,0.097230977,0.284730977,0.459730977,1.184730977,5.6,1,5.5,1,7,1,6.333333333,1,3.5,0
4,1,202.1150327,190.5970615,67,83,141.5,233,2415,25.78033022,16.25277782,17,17,17,33,150,2.97704918,1.460862539,0,2,3,4,7,6.903278689,4.223496214,0,4,7,10,19,277.7835622,193.1458379,4.524029016,144.4744334,228.5898751,363.0070168,1210.118316,8.749815397,8.4130445,0.076908493,2.725760338,5.614478878,11.69958592,47.05075979,-0.71187372,1.138783479,-3.474980277,-1.428730277,-0.359980277,0.178769723,0.955019723,4.466666667,0,3.875,0,4.5,0,5.333333333,1,5.5,1
5,1,342.1130495,314.1145973,67,167,250,416,4280,34.92576419,21.99692876,17,17,33,50,167,3.103448276,1.100599985,1,2,3,4,6,3.459770115,2.160220645,0,2,3,5,15,387.6522611,281.4079259,25.1462788,205.9683251,319.287661,476.3499606,2157.775998,14.88201383,10.36061374,0.42748674,6.401432442,13.17033977,21.29835409,53.24696253,0.288131979,0.645130735,-2.832442734,0.002557266,0.377557266,0.767557266,1.512557266,4.866666667,1,4.875,1,4,0,5.333333333,1,5,1
6,1,315.6563659,236.3415175,67,167,233,383,2165,38.4231547,18.28804568,17,17,33,50,150,3.447540984,1.060425072,1,3,3,4,7,3.313114754,1.488431075,0,2,3,4,8,306.3354473,193.2244337,43.08440299,181.9377073,264.6096746,371.4202423,2003.825051,13.4196789,10.30905418,1.289433934,5.968419088,10.47497724,17.67243155,60.96786843,0.345150886,0.26386999,-1.410496655,0.164503345,0.344503345,0.528253345,1.029503345,6.266666667,1,6.25,1,7,1,5.333333333,1,7,1
7,1,367.913229,331.5223394,67,150,250,450,3331,35.79249849,17.46791987,17,17,33,50,117,3.080196399,1.171429263,0,2,3,4,7,2.769230769,1.517364809,0,2,3,4,8,380.295528,279.2245728,59.28742225,204.1138099,301.8912053,442.5539071,2454.050429,13.74675693,9.707692573,1.049950041,6.409923041,11.17692471,18.61344102,58.27451577,0.480870304,0.486808547,-3.253614148,0.308885852,0.581385852,0.786385852,1.266385852,5.333333333,1,5.25,1,6,1,5.333333333,1,5,1
8,1,216.5078408,166.5474725,67,100,167,266,1549,26.63587749,16.49437235,17,17,17,33,117,3.255354201,1.204652764,0,3,3,4,7,6.838550247,3.470331093,0,4,6,9,20,305.823599,273.711992,16.3689333,130.3144268,227.4055766,375.5327117,1979.65768,11.56171861,10.51133105,0.278271866,2.531622997,8.769069839,17.37565412,52.96724497,0.009031973,0.665925953,-2.812137714,-0.429637714,0.077862286,0.542862286,1.197862286,4.6,0,4.625,0,4,0,5.666666667,1,3.5,0
9,1,259.0350297,212.4263258,67,133,200,316,2698,37.72220261,24.1451178,17,17,33,50,167,3.06710311,1.074479495,1,2,3,4,7,4.736497545,2.093148896,0,3,5,6,14,267.252701,143.1406204,35.93335574,171.5920193,236.3527946,329.6322556,1317.86247,11.72030919,9.324805511,0.610867048,4.687539731,8.914223125,16.19621482,56.60380722,0.194059939,0.51242227,-1.492036624,-0.117036624,0.217963376,0.587963376,1.312963376,3.066666667,0,2.75,0,2.5,0,5.333333333,1,1.5,0
10,1,319.5912615,268.3780396,67,150,250,383,2865,33.0092233,17.65679532,17,17,33,50,117,3.011456628,1.08258934,0,2,3,4,6,3.433715221,2.002484304,0,2,3,5,16,349.0241431,271.7197386,17.65982011,167.6538814,272.8854549,437.4422438,1768.203353,13.52765616,10.49522032,0.300216942,5.323700541,10.8724249,18.86733611,55.48147141,-0.243151796,0.474631675,-2.892382565,-0.397382565,-0.147382565,0.037617435,0.877617435,5.133333333,1,4.75,1,5,0,7,1,4,1
