,FD_count,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_count,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_count,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_count,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_count,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_count,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_count,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1_seg1,22.0,411.1818181818182,432.33514737259065,67.0,171.0,316.5,441.5,2082.0,29.0,35.6896551724138,20.20449640245575,17.0,17.0,33.0,50.0,100.0,11.0,2.727272727272727,1.7372915179041826,0.0,1.5,3.0,4.0,6.0,11.0,2.727272727272727,1.954016841836789,0.0,1.5,3.0,4.0,6.0,13.0,445.47977011539217,263.7762853883649,81.90303255170754,316.8081755903724,365.46522969036766,485.1918909191601,1158.9785898203884,13.0,18.50492389896222,14.12227723850152,2.7028000742063494,9.240253957777233,13.667571329369585,19.70263602694661,48.905297194428556,11.0,-0.27883722836363656,1.0176298219615296,-3.262473592,-0.14247359200000026,0.012526407999999822,0.20002640799999985,0.25252640800000004
1_seg10,245.0,306.0897959183674,248.0845475303104,67.0,150.0,217.0,400.0,2082.0,347.0,34.054755043227665,20.51405549833956,17.0,17.0,33.0,50.0,133.0,101.0,3.108910891089109,1.3776863946414648,0.0,2.0,3.0,4.0,6.0,101.0,3.5049504950495045,2.189172274519471,0.0,2.0,3.0,4.0,11.0,149.0,391.29590957960966,230.00577885977555,30.20815597044348,232.83933309844986,357.59517670481165,485.9378097357047,1571.4205608544578,149.0,16.607295615283185,12.806810827274306,0.5135386514975392,7.455820317471657,12.508063532627828,23.129612148545466,52.95454351017084,101.0,-0.28371121576237635,0.879763435799816,-3.262473592,-0.517473592,0.012526407999999822,0.25252640800000004,0.5925264079999999
1_seg11,271.0,310.47232472324725,252.98881209661647,67.0,150.0,217.0,391.5,2082.0,382.0,34.35340314136125,21.036357139998483,17.0,17.0,33.0,50.0,133.0,111.0,3.135135135135135,1.3583846455289623,0.0,2.0,3.0,4.0,6.0,111.0,3.5225225225225225,2.194401334167753,0.0,2.0,3.0,4.0,11.0,171.0,404.6746062252588,236.40968760462124,30.20815597044348,235.484174745843,365.46522969036766,514.5073293240478,1571.4205608544578,171.0,17.406217172268484,13.409047741137108,0.5135386514975392,7.4731256654383005,13.364310624090054,23.4594116784818,53.516254850251215,111.0,-0.2317979163243244,0.8562294420853895,-3.262473592,-0.41247359200000006,0.04752640799999997,0.2800264079999999,0.5925264079999999
1_seg12,297.0,306.8552188552189,254.57238108413728,67.0,150.0,217.0,383.0,2082.0,425.0,34.57411764705882,21.430444492949086,17.0,17.0,33.0,50.0,133.0,121.0,3.15702479338843,1.3601976845469308,0.0,2.0,3.0,4.0,6.0,121.0,3.5867768595041323,2.260786815423645,0.0,2.0,3.0,4.0,11.0,186.0,408.01259104597887,242.6326807707986,30.20815597044348,234.8629136019122,371.3434198833677,509.0648143934608,1571.4205608544578,186.0,17.436470897231345,13.291182870798176,0.5135386514975392,7.5212802832956696,13.416571187954874,23.548251048632483,53.516254850251215,121.0,-0.17528350935537196,0.8442002854185886,-3.262473592,-0.3624735919999997,0.11252640799999993,0.3025264080000003,0.7275264080000001
1_seg13,324.0,307.79938271604937,250.2249388043042,67.0,150.0,217.0,383.0,2082.0,463.0,34.11663066954644,20.94631883185501,17.0,17.0,33.0,50.0,133.0,131.0,3.1908396946564888,1.3307863714406658,0.0,2.0,3.0,4.0,6.0,131.0,3.603053435114504,2.2142176576805324,0.0,2.0,3.0,4.0,11.0,207.0,402.7320204104813,240.40722990171062,30.20815597044348,233.70044005758584,360.7221168797351,505.89913839091304,1571.4205608544578,207.0,16.89805190336737,13.059143464164832,0.5135386514975392,7.0718427401689485,12.895395531530669,23.163999261686502,53.516254850251215,131.0,-0.16495450803053446,0.8275950733312949,-3.262473592,-0.3874735920000001,0.11252640799999993,0.305026408,0.8125264080000001
1_seg14,346.0,311.43063583815035,257.32455587977796,67.0,150.0,225.0,383.0,2082.0,503.0,34.190854870775354,20.81227409134805,17.0,17.0,33.0,50.0,133.0,141.0,3.1843971631205674,1.3180225278772344,0.0,2.0,3.0,4.0,6.0,141.0,3.638297872340425,2.236951355702925,0.0,2.0,3.0,5.0,11.0,221.0,400.3873384055163,238.5795088233029,30.20815597044348,232.95601583032916,357.98513273606187,499.5677863858177,1571.4205608544578,221.0,16.592914875342437,12.770673626749494,0.5135386514975392,7.0801400126198075,12.743449927962107,22.988056162812534,53.516254850251215,141.0,-0.12896295370212776,0.8269616817605904,-3.262473592,-0.3674735920000001,0.13752640800000027,0.3375264079999996,1.027526408
1_seg15,371.0,313.56603773584914,253.79803170533313,67.0,150.0,233.0,383.0,2082.0,538.0,33.894052044609666,20.531982635017517,17.0,17.0,33.0,50.0,133.0,151.0,3.205298013245033,1.2874671816902208,0.0,2.5,3.0,4.0,6.0,151.0,3.6291390728476816,2.183623575740517,0.0,2.0,3.0,5.0,11.0,239.0,410.25267613189965,248.87640488203462,30.20815597044348,234.6256531700423,360.7221168797351,517.9697583347156,1571.4205608544578,239.0,16.43875314327201,12.48694217166156,0.5135386514975392,7.0718427401689485,12.829186520909367,22.78710340475977,53.516254850251215,151.0,-0.09952657213245038,0.8111823205509306,-3.262473592,-0.34747359200000005,0.14252640800000016,0.3625264079999999,1.027526408
1_seg16,391.0,319.42455242966753,274.2385706862599,67.0,150.0,233.0,391.5,2182.0,562.0,34.227758007117444,20.72512778064885,17.0,17.0,33.0,50.0,133.0,161.0,3.1801242236024843,1.2936778905400101,0.0,2.0,3.0,4.0,6.0,161.0,3.5590062111801237,2.1818705292045126,0.0,2.0,3.0,5.0,11.0,253.0,411.11914386924417,248.53410631293136,30.20815597044348,234.8064420552422,360.7221168797351,518.6491880318623,1571.4205608544578,253.0,16.667338069975838,12.790899573936553,0.5135386514975392,7.0801400126198075,12.829186520909367,22.95659515850246,55.267099374618155,161.0,-0.04517545535403733,0.8205360278860436,-3.262473592,-0.32747359200000004,0.1875264080000001,0.3825264079999999,1.5275264080000002
1_seg17,412.0,324.65291262135923,274.7063345370925,67.0,150.0,233.0,400.0,2182.0,586.0,34.505119453924905,21.254682124368,17.0,17.0,33.0,50.0,167.0,171.0,3.16374269005848,1.2728273407200543,0.0,2.0,3.0,4.0,6.0,171.0,3.4970760233918132,2.137547437398202,0.0,2.0,3.0,4.0,11.0,269.0,418.76663569916946,259.2134731808848,30.20815597044348,235.03232824192216,363.56893611351984,542.1977352783404,1571.4205608544578,269.0,16.839591821738697,12.752760571648526,0.5135386514975392,7.309676802120701,12.991033590094993,22.95659515850246,55.267099374618155,171.0,0.015772022035087648,0.8346477724314417,-3.262473592,-0.2924735920000001,0.20752640799999966,0.4600264079999998,1.5275264080000002
1_seg18,436.0,326.7981651376146,275.93269310297813,67.0,150.0,233.0,400.0,2182.0,613.0,34.835236541598704,21.061315671041637,17.0,17.0,33.0,50.0,167.0,181.0,3.154696132596685,1.2597806429147649,0.0,2.0,3.0,4.0,6.0,181.0,3.4585635359116016,2.1094222833638296,0.0,2.0,3.0,4.0,11.0,290.0,421.43084429144824,262.2540122081044,30.20815597044348,236.36985491743422,362.7399386518235,543.0903839939293,1571.4205608544578,290.0,16.785426771887966,12.394265448100464,0.5135386514975392,7.5212802832956696,13.336756391765258,22.73164326036059,55.267099374618155,181.0,0.05390762346961319,0.8276375504884456,-3.262473592,-0.247473592,0.23252640800000002,0.5525264079999999,1.5275264080000002
