,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1,1,4,0,0,0,3,14,1,1,0,0,0,0,1,3,8,0,0,0,0,0,2,2,0,1,0,0,0,0,8,11,2,5,2,2,6,5,11,0,6,8,6,7,1,2,4,0,6,7
2,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,11,1,11,14,9,5,0,6,12,9,0,0,9,0,0,0,1,9
3,1,5,0,0,0,1,2,0,13,0,0,0,0,3,1,11,0,0,0,0,0,0,4,0,0,0,0,0,9,14,1,11,3,14,5,6,14,1,8,4,1,6,0,1,0,0,1,0,0
4,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,2,0,0,0,0,0,2,7,0,0,3,0,0,10,10,0,0,0,4,0,4,9,1,1,2,11,8,12,4,3,14,14,9,3
5,4,0,0,0,1,5,2,7,4,0,0,0,0,1,3,7,0,0,0,5,0,0,4,0,0,0,0,3,2,4,13,7,2,1,8,3,2,14,7,7,6,1,5,1,1,6,3,1,0
6,0,4,0,0,0,1,1,9,3,0,0,0,0,0,8,1,0,0,0,0,0,0,4,0,1,0,0,7,2,13,1,11,4,1,1,3,1,5,14,14,4,2,4,0,14,0,2,1,4
7,2,5,0,0,1,3,3,7,14,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,4,0,2,8,14,5,0,14,8,1,8,7,14,4,0,4,4,0,0,0,1
8,7,1,0,4,6,2,3,4,2,0,0,0,0,0,13,3,0,4,0,0,2,4,5,0,0,2,0,2,1,0,1,8,1,1,9,1,9,1,5,7,0,12,0,4,7,5,0,0,4
9,1,2,0,3,0,1,2,2,2,0,0,0,0,0,4,0,2,0,0,0,0,8,7,0,0,0,0,1,14,12,6,6,13,5,7,1,0,2,3,1,3,4,0,7,14,3,0,1,3
10,5,0,0,1,1,2,2,10,6,0,0,0,2,2,0,3,0,0,0,0,8,10,4,0,0,2,1,3,6,3,0,2,3,0,0,10,0,0,7,5,3,6,12,1,3,2,9,6,0
11,14,8,0,2,11,11,0,0,2,0,0,0,0,0,14,0,0,11,0,0,0,14,0,0,12,3,0,5,0,0,0,1,1,5,0,3,4,0,4,9,5,1,0,0,0,0,0,0,0
